Participant #,Experiment,Verb Condition,Video File,Video Release,Gender,Jittered Days Old,Age.Years,Age.Months,Where Conducted,Experimenter,Notes,Inclusion Decision,Exclude Reason,Blind Code?,2nd Coder,zzz,zzzzz,zzzzzz,Legacy columns ->,Experiment Group,Has video release?,Condition
137,E3 - MannerPath extend to ActionEffect,Path,MannerPath_102916_3,VR,F,2080,5,8,Shannon,Becky,"Focused; insisted at the beginning that ""that's not torging!"" when viewing the learning videos",1,,,,,,,,,,
138,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_110316_1,,M,1676,4,7,WJH,Becky,"Lost a little focus during the last two big stars, but then was very focused for the small stars",1,,,,,,,,,,
139,E3 - MannerPath extend to ActionEffect,Path,MannerPath_110316_2,VR,F,1541,4,2,WJH,Becky,"Did well. Slate at the beginning says S138, but this is wrong",1,,,,,,,,,,
140,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_111016,VR,M,1528,4,2,Shannon,Becky,"Did well, but couldn't finish the experiment due to computer issues",0,Experimenter error,,,,,,,,,
141,E3 - MannerPath extend to ActionEffect,Path,MannerPath_111216_1,,M,1740,4,9,Shannon,Becky,Did well,1,,,,,,,,,,
142,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_111216_2,,F,1572,4,3,Shannon,Becky,"Very shy, sat on parent's lap for during the experiment. Almost always picked the video on the left",1,,,,,,,,,,
143,E3 - MannerPath extend to ActionEffect,Path,MannerPath_111216_3,,F,2054,5,7,Shannon,Becky,Did great!,1,,,,,,,,,,
144,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_120116,VR,F,1490,4,0,WJH,Becky,Did great!,1,,,,,,,,,,
145,E3 - MannerPath extend to ActionEffect,Path,MannerPath_120316,VR,F,1649,4,6,Shannon,Becky,Did well! Code second practice trial as NA? (Couldn't get an answer),1,,,,,,,,,,
146,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_20161210_01,VR,M,1865,5,1,Shannon,Melissa,"Great, on task, loved the stars",1,,,,,,,,,,
147,E3 - MannerPath extend to ActionEffect,Path,MannerPath_20161210_02,VR,F,2107,5,9,Shannon,Melissa,Very chatty but focused!,1,,,,,,,,,,
148,E3 - MannerPath extend to ActionEffect,Path,MannerPath_20161210_03,VR,M,1936,5,3,Shannon,Melissa,"Mellow, this is the kid with the super cool 'lightbulb' moment",1,,,,,,,,,,
149,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_010917,VR,M,1488,4,0,,Melissa,Did great!,1,,,,,,,,,,
150,E3 - MannerPath extend to ActionEffect,Path,MannerPath_012717,VR,F,2019,5,6,WJH,Becky,"Very good about waiting before points (not an early pointer), a little wiggly but not too much",1,,,,,,,,,,
151,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_020417_1,VR,F,1870,5,1,WJH,Becky,Did great! ***Hebrew is spoken at home,0,Bilingual,,,,,,,,,
152,E3 - MannerPath extend to ActionEffect,Path,MannerPath_020417_2,VR,F,1961,5,4,Shannon,Becky,Did great!,1,,,,,,,,,,
153,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_020417_3,VR,F,1466,4,0,Shannon,Becky,Did great!,1,,,,,,,,,,
154,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_20170208,VR,F,1907,5,2,WJH,Melissa,Did well!,1,,,,,,,,,,
155,E3 - MannerPath extend to ActionEffect,Path,MannerPath_021117,VR,F,2078,5,8,WJH,Becky,,1,,,,,,,,,,
156,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_021717,no VR,F,1797,4,11,Shannon,Becky,Did well! **Need to go back and code bias trial 1 as n/a--I think she may have been confused about what she was supposed to do/wouldn't give an answer,1,,,,,,,,,,
157,E3 - MannerPath extend to ActionEffect,Path,MannerPath_021817,VR,F,1731,,,Shannon,Becky,Definitely not monolingual,0,Bilingual,,,,,,,,,
158,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_022217,VR,M,1619,4,5,WJH,Becky,,1,,,,,,,,,,
159,E3 - MannerPath extend to ActionEffect,Path,MannerPath_022417.mp4,VR,F,1885,5,1,WJH,Melissa,"Got tired toward the end but powered through, some side conversations about dinosaur bones, I tried to limit them to between trials.  Very manner biased, inc in the same-verb tests. Lots of 'translating' of verbs into english, the motion actions were always both, e.g. 'molking means hopping around'. + some explaining reasoning for choices in the CoS trials.",1,,,,,,,,,,
160,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_022417_2,VR,F,2127,5,9,WJH,Becky,,1,,,,,,,,,,
161,E3 - MannerPath extend to ActionEffect,Path,MannerPath_022417_3,VR,F,1943,5,3,Shannon,Becky,,1,,,,,,,,,,
162,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_022517_1,VR,M,1495,4,1,WJH,Becky,,1,,,,,,,,,,
163,E3 - MannerPath extend to ActionEffect,Path,MannerPath_022517_2,VR,M,1660,4,6,Shannon,Becky,,1,,,,,,,,,,
164,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_030117,VR,F,1787,4,10,WJH,Becky,,1,,,,,,,,,,
165,E3 - MannerPath extend to ActionEffect,Path,MannerPath_030317,VR,F,1716,4,8,Shannon,Becky,,1,,,,,,,,,,
166,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_030417_1,VR,M,1916,5,3,WJH,Becky,,1,,,,,,,,,,
167,E3 - MannerPath extend to ActionEffect,Path,MannerPath_030417_2,VR,M,1740,4,8,Shannon,Becky,,1,,,,,,,,,,
168,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_030417_3,VR,M,1732,4,9,Shannon,Becky,,1,,,,,,,,,,
169,E3 - MannerPath extend to ActionEffect,Path,MannerPath_030817,VR,M,1532,4,2,WJH,Becky,,1,,,,,,,,,,
170,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_031117,VR,F,1484,4,0,WJH,Becky,,1,,,,,,,,,,
171,E3 - MannerPath extend to ActionEffect,Path,MannerPath_032517_1,VR,M,1780,4,10,WJH,Becky,,1,,,,,,,,,,
172,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_032517_2,VR,M,1700,4,7,Shannon,Becky,,1,,,,,,,,,,
173,E3 - MannerPath extend to ActionEffect,Path,MannerPath_032517_3,VR,F,1764,5,9,Shannon,Becky,,1,,,,,,,,,,
174,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_04072017,no VR,M,2122,5,9,Shannon,Becky,,1,,,,,,,,,,
175,E3 - MannerPath extend to ActionEffect,Path,MannerPath_041217,VR,M,1801,4,11,WJH,Becky,Not a huge fan of the study (found it boring) and took a break after the fourth big star,1,,,,,,,,,,
176,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_041417,VR,M,2051,5,7,WJH,Melissa,"Did great! Camera issues, rec'd on phone instead",1,,,,,,,,,,
177,E3 - MannerPath extend to ActionEffect,Path,MannerPath_041417_2,VR,M,1581,4,3,WJH,Becky,Did great,1,,,,,,,,,,
178,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_041917,VR,F,2373,6,5,WJH,Becky,6-year-old.  Really enjoyed the study!,0,Too old,,,,,,,,,
179,E3 - MannerPath extend to ActionEffect,Path,,VR,M,2126,5,9,WJH,Becky,Did well!,1,,,,,,,,,,
180,E3 - MannerPath extend to ActionEffect,Manner,,VR,M,1532,4,2,WJH,Becky,"Did well, but didn't finish because the computer froze :(.  Also, we had to run in the conference room, so the video may look a little weird, and I think that the first two small (teaching) stars didn't end up in the video.",0,Child fussed out,,,,,,,,,
181,E3 - MannerPath extend to ActionEffect,Manner,,VR,M,1646,4,5,WJH,Becky,"Did well! Ran in the Interpreters' Lair, so the video may be at a weird angle",1,,,,,,,,,,
182,E3 - MannerPath extend to ActionEffect,Path,,VR,M,1526,4,2,WJH,Becky,Did well!,1,,,,,,,,,,
183,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_05102017,VR,F,1626,4,3,WJH,Sarah,,1,,,,,,,,,,
184,E3 - MannerPath extend to ActionEffect,Path,MannerPath_05102017,VR,M,1752,4,8,Shannon,Sarah,,1,,,,,,,,,,
185,E3 - MannerPath extend to ActionEffect,Manner,,VR,M,1341,3,8,WJH,Crystal&Christine,"Did really well, very patient kid, was playing with tape during 1 trial",0,Pilot/training,,,,,,,,,
186,E3 - MannerPath extend to ActionEffect,Path,MannerPath_06212017,VR,M,1485,4,0,WJH,Sarah,,1,,,,,,,,,,
187,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_06222017_1,VR,M,1801,4,11,WJH,Crystal,,0,Pilot/training,,,,,,,,,
188,E3 - MannerPath extend to ActionEffect,Path,,VR,M,1453,3,11,WJH,Christine,Seemed shy and uninterested_ did not complete study,0,Pilot/training,,,,,,,,,
189,E3 - MannerPath extend to ActionEffect,Manner,,VR,F,2304,6,3,WJH,Crystal,Camera out of space,1,,,,,,,,,,
190,E3 - MannerPath extend to ActionEffect,Path,,VR,M,1562,4,3,WJH,Christine,Did an awesome job!! But camera was out of space_,1,,,,,,,,,,
191,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_06282017,VR,M,1626,4,5,WJH,Crystal,,1,,,,,,,,,,
192,E3 - MannerPath extend to ActionEffect,Path,MannerPath_07052017_1,VR,F,1483,4,0,WJH,Crystal,Awesome job! Paid close attention to the movies,1,,,,,,,,,,
193,E3 - MannerPath extend to ActionEffect,Path,MannerPath_07052017_2,VR,F,1645,4,6,WJH,Crystal,Finished the task but was fidgety,1,,,,,,,,,,
194,E3 - MannerPath extend to ActionEffect,Path,MannerPath_071017,VR,M,1584,4,3,WJH,Crystal,"Pointed at the monster during videos, said the novel words a few times",1,,,,,,,,,,
195,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_071217,VR,F,1871,5,1,WJH,Crystal,"Great job, was a little wiggly but was overall interested",1,,,,,,,,,,
196,E3 - MannerPath extend to ActionEffect,Path,,VR,M,2107,5,9,WJH,Crystal,Very attentive,1,,,,,,,,,,
197,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_071817,VR,F,1885,5,1,WJH,Crystal,"Very attentive, got tired at the end but made it through the entire study",,,,,,,,,,,
198,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_071917,VR,F,2136,5,10,WJH,Crystal,"Awesome kid, paid close attention to the videos",,,,,,,,,,,
200,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_072417,VR,M,1840,5,0,WJH,Crystal,"Great kid, attentive! Mistakenly labelled as 200 when it should have been 199. Will run next kid as 199.",,,,,,,,,,,
199,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_072817,VR,F,1711,4,8,WJH,Christine,"Had a meltdown prior to the study, but was okay for the rest of it. Seemed a little bored but was fine.",,,,,,,,,,,
201,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_080317,VR,M,1922,5,3,WJH,Crystal,"Attentive, but kept telling me stories during the trials. He understood what was happening, and acted out the novel verbs.",,,,,,,,,,,
202,E3 - MannerPath extend to ActionEffect,Manner,MannerPath_080717,VR,M,2177,5,11,WJH,Crystal,Said novel word basically after every trial. Got both practice trials wrong.,,,,,,,,,,,
